lang,attribute,supplement,method,term_type,accuracy
German,plurality,False,RF,skippy4gram-no-hash,0.82
German,plurality,False,NN,skippy4gram-no-hash,0.84
German,gender,True,DT,2gram-hash-at-both,0.43
German,gender,True,RF,2gram-hash-at-both,0.63
German,gender,True,NN,2gram-hash-at-both,0.54
German,gender,False,DT,2gram-hash-at-both,0.38
German,gender,False,RF,2gram-hash-at-both,0.58
German,gender,False,NN,2gram-hash-at-both,0.53
German,plurality,True,DT,2gram-hash-at-both,0.84
German,plurality,True,RF,2gram-hash-at-both,0.85
German,plurality,True,NN,2gram-hash-at-both,0.86
German,plurality,False,DT,2gram-hash-at-both,0.78
German,plurality,False,RF,2gram-hash-at-both,0.82
German,plurality,False,NN,2gram-hash-at-both,0.79
German,gender,True,DT,3gram-hash-at-both,0.49
German,gender,True,RF,3gram-hash-at-both,0.57
German,gender,True,NN,3gram-hash-at-both,0.56
German,gender,False,DT,3gram-hash-at-both,0.47
German,gender,False,RF,3gram-hash-at-both,0.56
German,gender,False,NN,3gram-hash-at-both,0.55
German,plurality,True,DT,3gram-hash-at-both,0.82
German,plurality,True,RF,3gram-hash-at-both,0.83
German,plurality,True,NN,3gram-hash-at-both,0.80
German,plurality,False,DT,3gram-hash-at-both,0.74
German,plurality,False,RF,3gram-hash-at-both,0.78
German,plurality,False,NN,3gram-hash-at-both,0.77
German,gender,True,DT,4gram-hash-at-both,0.53
German,gender,True,RF,4gram-hash-at-both,0.62
German,gender,True,NN,4gram-hash-at-both,0.62
German,gender,False,DT,4gram-hash-at-both,0.53
German,gender,False,RF,4gram-hash-at-both,0.57
German,gender,False,NN,4gram-hash-at-both,0.61
German,plurality,True,DT,4gram-hash-at-both,0.70
German,plurality,True,RF,4gram-hash-at-both,0.76
German,plurality,True,NN,4gram-hash-at-both,0.74
German,plurality,False,DT,4gram-hash-at-both,0.69
German,plurality,False,RF,4gram-hash-at-both,0.74
German,plurality,False,NN,4gram-hash-at-both,0.71
German,gender,True,DT,skippy2gram-hash-at-both,0.55
German,gender,True,RF,skippy2gram-hash-at-both,0.60
German,gender,True,NN,skippy2gram-hash-at-both,0.50
German,gender,False,DT,skippy2gram-hash-at-both,0.53
German,gender,False,RF,skippy2gram-hash-at-both,0.60
German,gender,False,NN,skippy2gram-hash-at-both,0.50
German,plurality,True,DT,skippy2gram-hash-at-both,0.80
German,plurality,True,RF,skippy2gram-hash-at-both,0.83
German,plurality,True,NN,skippy2gram-hash-at-both,0.83
German,plurality,False,DT,skippy2gram-hash-at-both,0.81
German,plurality,False,RF,skippy2gram-hash-at-both,0.83
German,plurality,False,NN,skippy2gram-hash-at-both,0.81
German,gender,True,DT,skippy3gram-hash-at-both,0.48
German,gender,True,RF,skippy3gram-hash-at-both,0.60
German,gender,True,NN,skippy3gram-hash-at-both,0.55
German,gender,False,DT,skippy3gram-hash-at-both,0.42
German,gender,False,RF,skippy3gram-hash-at-both,0.56
German,gender,False,NN,skippy3gram-hash-at-both,0.53
German,plurality,True,DT,skippy3gram-hash-at-both,0.74
German,plurality,True,RF,skippy3gram-hash-at-both,0.81
German,plurality,True,NN,skippy3gram-hash-at-both,0.79
German,plurality,False,DT,skippy3gram-hash-at-both,0.80
German,plurality,False,RF,skippy3gram-hash-at-both,0.79
German,plurality,False,NN,skippy3gram-hash-at-both,0.78
German,gender,True,DT,skippy4gram-hash-at-both,0.56
German,gender,True,RF,skippy4gram-hash-at-both,0.58
German,gender,True,NN,skippy4gram-hash-at-both,0.53
German,gender,False,DT,skippy4gram-hash-at-both,0.52
German,gender,False,RF,skippy4gram-hash-at-both,0.55
German,gender,False,NN,skippy4gram-hash-at-both,0.57
German,plurality,True,DT,skippy4gram-hash-at-both,0.77
German,plurality,True,RF,skippy4gram-hash-at-both,0.79
German,plurality,True,NN,skippy4gram-hash-at-both,0.78
German,plurality,False,DT,skippy4gram-hash-at-both,0.78
German,plurality,False,RF,skippy4gram-hash-at-both,0.80
German,plurality,False,NN,skippy4gram-hash-at-both,0.74
